_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,ev0a,ev10a,ev11a,ev12a,ev13a,ev14a,ev15a,ev16a,ev17a,ev18a,ev19a,ev1a,ev20a,ev21a,ev22a,ev23a,ev24a,ev25a,ev26a,ev27a,ev28a,ev29a,ev2a,ev3a,ev4a,ev5a,ev6a,ev7a,ev8a,ev9a,eventstate0,eventstate1,eventstate10,eventstate11,eventstate12,eventstate13,eventstate14,eventstate15,eventstate16,eventstate17,eventstate18,eventstate19,eventstate2,eventstate20,eventstate21,eventstate22,eventstate23,eventstate24,eventstate25,eventstate26,eventstate27,eventstate28,eventstate29,eventstate3,eventstate4,eventstate5,eventstate6,eventstate7,eventstate8,eventstate9,eventtype0,eventtype1,eventtype10,eventtype11,eventtype12,eventtype13,eventtype14,eventtype15,eventtype16,eventtype17,eventtype18,eventtype19,eventtype2,eventtype20,eventtype21,eventtype22,eventtype23,eventtype24,eventtype25,eventtype26,eventtype27,eventtype28,eventtype29,eventtype3,eventtype4,eventtype5,eventtype6,eventtype7,eventtype8,eventtype9,noevents,othertextfield0,othertextfield1,othertextfield10,othertextfield11,othertextfield12,othertextfield13,othertextfield14,othertextfield15,othertextfield16,othertextfield17,othertextfield18,othertextfield19,othertextfield2,othertextfield20,othertextfield21,othertextfield22,othertextfield23,othertextfield24,othertextfield25,othertextfield26,othertextfield27,othertextfield28,othertextfield29,othertextfield3,othertextfield4,othertextfield5,othertextfield6,othertextfield7,othertextfield8,othertextfield9,step_2_for_each_event_you_have_highlighted_select_the_event_state_and_the_event_type,verification,id,sentence,,
714042435,5/25/2015 00:55:37,1642842215,5/25/2015 00:54:26,false,prodege,0.9729,6309240,USA,CA,San Diego,66.27.81.67,12,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,Will happen,Will happen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intention or Attempt,Intention or Attempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,Orkem and Coates said last Wednesday that the two were considering a merger  through Orkem 's British subsidiary  Orkem Coatings U.K. Ltd. Orkem  France 's third-largest chemical group  said it would fund the acquisition through internal resources . ,,
714042435,5/25/2015 03:54:07,1642891864,5/25/2015 03:53:13,false,prodege,0.9678,7348582,CAN,MB,Winnipeg,207.161.108.104,11-12,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,Will happen,Will happen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intention or Attempt,Intention or Attempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,Orkem and Coates said last Wednesday that the two were considering a merger  through Orkem 's British subsidiary  Orkem Coatings U.K. Ltd. Orkem  France 's third-largest chemical group  said it would fund the acquisition through internal resources . ,,
714042435,5/25/2015 07:57:15,1642935367,5/25/2015 07:56:26,false,instagc,0.9591,30326470,USA,CA,Santee,99.44.37.73,10-12,,,,,,,,,,,33-35,,,,,,,,,,,,,,,,,,,Will happen,Will happen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intention or Attempt,Perception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,Orkem and Coates said last Wednesday that the two were considering a merger  through Orkem 's British subsidiary  Orkem Coatings U.K. Ltd. Orkem  France 's third-largest chemical group  said it would fund the acquisition through internal resources . ,,
714042435,5/25/2015 11:01:11,1642977259,5/25/2015 10:59:14,false,fusioncash,0.9658,31757234,USA,KY,London,76.177.136.50,10-12,,,,,,,,,,,35-37,,,,,,,,,,,,,,,,,,,Has happened,Will happen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intention or Attempt,Intention or Attempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,Orkem and Coates said last Wednesday that the two were considering a merger  through Orkem 's British subsidiary  Orkem Coatings U.K. Ltd. Orkem  France 's third-largest chemical group  said it would fund the acquisition through internal resources . ,,
714042435,5/25/2015 17:23:23,1643069071,5/25/2015 17:22:28,false,prodege,0.9865,19854505,GBR,H8,Liverpool,92.28.85.177,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Will happen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,Orkem and Coates said last Wednesday that the two were considering a merger  through Orkem 's British subsidiary  Orkem Coatings U.K. Ltd. Orkem  France 's third-largest chemical group  said it would fund the acquisition through internal resources . ,,
714042435,5/25/2015 22:41:27,1643186262,5/25/2015 22:40:01,false,prodege,0.9527,28103910,GBR,C3,Wisbech,2.222.58.164,5,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,Has happened,Will happen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perception,Intention or Attempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,Orkem and Coates said last Wednesday that the two were considering a merger  through Orkem 's British subsidiary  Orkem Coatings U.K. Ltd. Orkem  France 's third-largest chemical group  said it would fund the acquisition through internal resources . ,,
714042435,5/26/2015 02:05:51,1643235654,5/26/2015 02:03:50,false,prodege,0.9812,23482077,USA,TX,Garland,71.164.238.226,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Will happen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intention or Attempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,Orkem and Coates said last Wednesday that the two were considering a merger  through Orkem 's British subsidiary  Orkem Coatings U.K. Ltd. Orkem  France 's third-largest chemical group  said it would fund the acquisition through internal resources . ,,
714042435,5/26/2015 09:24:15,1643308662,5/26/2015 09:23:31,false,instagc,0.9511,29444531,USA,GA,Decatur,184.37.247.104,12,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,Will happen,Will happen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perception,Perception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,Orkem and Coates said last Wednesday that the two were considering a merger  through Orkem 's British subsidiary  Orkem Coatings U.K. Ltd. Orkem  France 's third-largest chemical group  said it would fund the acquisition through internal resources . ,,
714042436,5/8/2015 15:03:57,1632206704,5/8/2015 15:03:40,false,meprizescf,1,28483210,USA,WI,Minocqua,75.143.134.247,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Is happening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,The acceptances give Orkem a controlling 53.2% stake in the company . ',,
714042436,5/8/2015 15:43:40,1632225553,5/8/2015 15:42:58,false,clixsense,0.9717,10798016,GBR,C7,Coventry,86.24.245.191,3-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Is happening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,The acceptances give Orkem a controlling 53.2% stake in the company . ',,
714042436,5/8/2015 16:19:55,1632244668,5/8/2015 16:17:26,false,instagc,0.9699,22981457,CAN,ON,Dundas,72.38.94.178,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Is happening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,The acceptances give Orkem a controlling 53.2% stake in the company . ',,
714042436,5/8/2015 17:53:02,1632288406,5/8/2015 17:52:19,false,instagc,0.9668,20312760,GBR,I2,Manchester,90.244.150.108,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Is happening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intention or Attempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,The acceptances give Orkem a controlling 53.2% stake in the company . ',,
714042436,5/8/2015 18:34:45,1632334881,5/8/2015 18:34:00,false,clixsense,0.9638,6362702,GBR,B7,Bristol,90.222.102.171,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Is happening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,The acceptances give Orkem a controlling 53.2% stake in the company . ',,
714042436,5/8/2015 19:15:58,1632382277,5/8/2015 19:14:57,false,clixsense,0.9385,30130805,USA,MI,Wyandotte,63.141.31.35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Is happening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intention or Attempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,The acceptances give Orkem a controlling 53.2% stake in the company . ',,
714042436,5/8/2015 19:17:10,1632383567,5/8/2015 19:16:18,false,prodege,0.9074,29849805,GBR,Z1,Swansea,82.1.37.235,1,,,,,,,,,,,2,,,,,,,,,,,5,,,,,,,,Is happening,Is happening,,,,,,,,,,,Is happening,,,,,,,,,,,,,,,,,,Perception,Reporting,,,,,,,,,,,Intention or Attempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,The acceptances give Orkem a controlling 53.2% stake in the company . ',,
714042436,5/8/2015 20:07:30,1632453901,5/8/2015 20:06:34,false,clixsense,0.954,32549163,CAN,MB,Winnipeg,206.45.167.246,0-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Is happening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,The acceptances give Orkem a controlling 53.2% stake in the company . ',,
714042436,5/8/2015 20:37:22,1632507568,5/8/2015 20:36:18,false,prodege,0.9547,16101132,GBR,F9,Hayes,2.223.214.149,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Has happened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,The acceptances give Orkem a controlling 53.2% stake in the company . ',,
714042436,5/8/2015 21:12:52,1632548001,5/8/2015 21:12:08,false,clixsense,0.9232,22947672,GBR,"","",88.144.86.217,2,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,Is happening,Is happening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intention or Attempt,Intention or Attempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,The acceptances give Orkem a controlling 53.2% stake in the company . ',,
714042436,5/8/2015 21:24:26,1632560493,5/8/2015 21:23:42,false,instagc,0.9568,31184650,USA,IA,Mason City,173.26.27.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no event present in this text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,The acceptances give Orkem a controlling 53.2% stake in the company . ',,
714042436,5/8/2015 21:32:51,1632569149,5/8/2015 21:32:31,false,meprizescf,0.9454,30341376,USA,NJ,Hamburg,71.48.101.217,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Has happened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,The acceptances give Orkem a controlling 53.2% stake in the company . ',,
714042436,5/8/2015 22:12:10,1632615251,5/8/2015 22:11:18,false,elite,0.9517,32173500,GBR,"","",90.194.126.118,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Is happening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,The acceptances give Orkem a controlling 53.2% stake in the company . ',,
714042436,5/8/2015 22:18:54,1632623242,5/8/2015 22:18:04,false,instagc,0.9327,23287154,USA,CA,San Jose,130.65.251.20,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,Has happened,Has happened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intention or Attempt,Reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,The acceptances give Orkem a controlling 53.2% stake in the company . ',,
714042436,5/8/2015 22:35:15,1632642137,5/8/2015 22:34:58,false,prodege,0.9706,15439740,AUS,2,Jannali,14.200.59.55,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Is happening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,The acceptances give Orkem a controlling 53.2% stake in the company . ',,
714042437,6/7/2015 04:02:05,1653988183,6/7/2015 04:00:53,false,dailyrewardsca,0.9721,32196253,CAN,AB,Calgary,162.157.48.49,0-9,,,,,,,,,,,22-28,,,,,,,,,,,11-19,,,,,,,,Has happened,Will happen,,,,,,,,,,,Will happen,,,,,,,,,,,,,,,,,,Reporting,Reporting,,,,,,,,,,,Perception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,said it plans to aggressively discount its major beer brands  setting the stage for a potentially bruising price war as the maturing industry 's growth continues to slow . ,,
714042437,6/7/2015 16:25:12,1654258494,6/7/2015 16:24:51,false,superrewards,0.9663,31767535,GBR,"","",90.221.68.104,4-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Will happen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intention or Attempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,said it plans to aggressively discount its major beer brands  setting the stage for a potentially bruising price war as the maturing industry 's growth continues to slow . ,,
714042437,6/7/2015 21:03:24,1654451371,6/7/2015 21:02:05,false,clixsense,0.9619,31813170,GBR,E5,Gateshead,151.227.253.42,18-19,,,,,,,,,,,23-25,,,,,,,,,,,2-5,,,,,,,,Will happen,Will happen,,,,,,,,,,,Will happen,,,,,,,,,,,,,,,,,,Perception,Perception,,,,,,,,,,,Reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,said it plans to aggressively discount its major beer brands  setting the stage for a potentially bruising price war as the maturing industry 's growth continues to slow . ,,
714042437,6/8/2015 10:38:39,1655201578,6/8/2015 10:37:08,false,instagc,0.9498,19425875,USA,OH,Mansfield,71.50.37.124,0,,,,,,,,,,,5,,,,,,,,,,,11,25,19,,,,,,Has happened,Will happen,,,,,,,,,,,Is happening,,,,,,,,,,,Has happened,Will happen,,,,,,Reporting,Reporting,,,,,,,,,,,Reporting,,,,,,,,,,,Intention or Attempt,Intention or Attempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,said it plans to aggressively discount its major beer brands  setting the stage for a potentially bruising price war as the maturing industry 's growth continues to slow . ,,
714042437,6/8/2015 22:21:37,1656129261,6/8/2015 22:21:01,false,elite,0.9637,32232485,USA,"","",208.31.49.20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Is happening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,said it plans to aggressively discount its major beer brands  setting the stage for a potentially bruising price war as the maturing industry 's growth continues to slow . ,,
714042437,6/8/2015 22:26:41,1656134869,6/8/2015 22:26:06,false,prodege,0.9676,33005115,CAN,ON,Pembroke,98.124.8.186,16-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Will happen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,said it plans to aggressively discount its major beer brands  setting the stage for a potentially bruising price war as the maturing industry 's growth continues to slow . ,,
714042437,6/9/2015 03:44:48,1656484468,6/9/2015 03:44:11,false,elite,0.8958,32309057,USA,NY,New York,107.168.23.155,4,,,,,,,,,,,7,,,,,,,,,,,16,8,23,22,,,,,Has happened,Has happened,,,,,,,,,,,Is happening,,,,,,,,,,,Has happened,Has happened,Is happening,,,,,Perception,Perception,,,,,,,,,,,Perception,,,,,,,,,,,Reporting,Reporting,Reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,said it plans to aggressively discount its major beer brands  setting the stage for a potentially bruising price war as the maturing industry 's growth continues to slow . ,,
714042437,6/9/2015 08:19:53,1656767383,6/9/2015 08:17:35,false,clixsense,0.9457,6355877,GBR,J5,Whitley Bay,77.98.220.230,2-5,,,,,,,,,,,18-19,,,,,,,,,,,,,,,,,,,Will happen,Will happen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intention or Attempt,Intention or Attempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,said it plans to aggressively discount its major beer brands  setting the stage for a potentially bruising price war as the maturing industry 's growth continues to slow . ,,
714042437,6/9/2015 16:59:09,1657240184,6/9/2015 16:58:17,false,inboxpounds,0.9534,33035431,GBR,V2,Glasgow,82.12.114.190,4-9,,,,,,,,,,,17-19,,,,,,,,,,,,,,,,,,,Will happen,Is happening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intention or Attempt,Reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,said it plans to aggressively discount its major beer brands  setting the stage for a potentially bruising price war as the maturing industry 's growth continues to slow . ,,
714042437,6/11/2015 01:11:47,1658609997,6/11/2015 01:06:24,false,gifthulk,0.6265,18666417,USA,PA,Meadville,24.101.97.237,4,28,,,,,,,,,,5,,,,,,,,,,,7,8,9,23,,25,26,27,Will happen,Will happen,Will happen,,,,,,,,,,Will happen,,,,,,,,,,,Will happen,Will happen,Will happen,,Will happen,Will happen,Will happen,Intention or Attempt,Intention or Attempt,Intention or Attempt,,,,,,,,,,Intention or Attempt,,,,,,,,,,,Intention or Attempt,Intention or Attempt,Intention or Attempt,,Intention or Attempt,Intention or Attempt,Intention or Attempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6,said it plans to aggressively discount its major beer brands  setting the stage for a potentially bruising price war as the maturing industry 's growth continues to slow . ,,
714042437,6/11/2015 11:52:22,1659017556,6/11/2015 11:51:37,false,gifthunterclub,0.9205,29582088,GBR,I2,Manchester,89.242.209.182,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Will happen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,said it plans to aggressively discount its major beer brands  setting the stage for a potentially bruising price war as the maturing industry 's growth continues to slow . ,,
