AP900816-0139_44|` ` It 's our only outlet to the sea and the rest of the world , ' ' Hussein said .
wsj_0329_0|Coda Energy Inc. said it arranged a $50 million credit facility with NCNB Texas National Bank , a unit of NCNB Corp. , of Charlotte , N.C. The Dallas oil and gas concern said that $10 million of the facility would be used to consolidate the company 's $8.1 million of existing bank debt , to repurchase 4 million of its 4.9 million shares outstanding of Series D convertible preferred stock , and to purchase a 10% net-profits interest in certain oil and gas properties from one of its existing lenders , National Canada Corp. The remaining $40 million can be used over three years for oil and gas acquisitions , the company said .
wsj_0329_1|Ted Eubank , Coda 's president , said the loan carries an interest rate of prime plus one percentage point , with 85% of the company 's net oil and gas revenue each month dedicated to repayment .
wsj_0570_12|Earlier this month , Milton Roy signed a letter of intent to acquire Automated Custom Systems Inc. , Orange , Calif. , and its sister operation , Environmental Testing Co. , in Aurora , Colo. The companies are automotive-emissions-testing concerns .
wsj_0570_13|Under the terms , Milton Roy will pay an initial $4 million for the operations and additional payments during the next four years based on the earnings performance of the businesses .
wsj_0570_10|Gabelli Group began raising its Milton Roy stake in July , and holds 14.6% , according to a recent SEC filing .
wsj_0570_11|It has n 't made merger overtures to the board .
wsj_0329_2|The company put up ' virtually all ' of its oil and gas properties as collateral , he said .
wsj_0570_14|In the nine months , Milton Roy earned $6.6 million , or $1.18 a share , on sales of $94.3 million .
wsj_0938_20|In trading on the New York Stock Exchange , Cineplex closed at $11 , down 25 cents , with more than a million shares changing hands .
wsj_0575_28|Asked how the company hopes to expand its computer hardware business , Mr. Ousley said it sees good opportunities in systems integration .
wsj_0575_29|' We think we 're getting only 10% of the integration dollars our customers are spending , ' he said .
wsj_0575_24|Control Data recently announced an agreement with MIPS Computer Systems Inc. to jointly develop machines with simplified operating software .
wsj_0575_25|James E. Ousley , computer products group president , said such arrangements could help slash Control Data 's computer research and development costs in half by the end of 1990 .
wsj_0575_26|He disclosed that before Control Data scrapped its ETA Systems Inc. supercomputer business this past spring , those costs were running at nearly 35% of group revenue .
wsj_0575_27|At the same time four of six design projects were spiked , he said .
wsj_0575_20|He would n 't elaborate .
wsj_0575_21|Control Data 's semiconductor business , VTC Inc. , continues to lose money , the executives acknowledged , but they said they consider some of the technology vital to national defense and so are reluctant to dispose of it .
wsj_0736_4|Among other reasons , high fees regulators imposed on certain transfers of thrift deposits to commercial banks ' substantially altered the economics of the transaction for both parties , ' Poughkeepsie said .
wsj_0736_5|Additionally , the bank is increasing its loan-loss reserves for the third quarter by $8.5 million before taxes .
wsj_0736_6|In the year-earlier third quarter , Poughkeepsie Savings had net income of $2.8 million , or 77 cents a share .
wsj_1014_2|Anheuser , the world 's largest brewer and U.S. market leader , has historically been reluctant to engage in price-cutting as a means of boosting sales volume .
wsj_1014_3|With the passing of the heady days of swelling industry sales , however , the once-sporadic and brief forays into discounting are becoming standard competitive weapons in the beer industry .
wsj_1014_4|Over the summer , Anheuser competitors offered more and deeper discounts than industry observers have seen for a long time .
wsj_1014_5|Some experts now predict Anheuser 's entry into the fray means near-term earnings trouble for all the industry players .
wsj_1014_6|The St. Louis company said major rivals , Philip Morris Co. 's Miller Brewing unit and Adolph Coors Co. ' have been following a policy of continuous and deep discounting for at least the past 18 months ' on their premium brands , pricing their product as much as 25 cents a 12-pack below Anheuser 's Budweiser label in many markets .
wsj_1014_7|Anheuser said it 's discounting policy basically would involve matching such moves by rivals on a market-by-market basis .
wsj_1014_8|Anheuser-Busch announced its plan at the same time it reported third-quarter net income rose a lower-than-anticipated 5.2% to $238.3 million , or 83 cents a share , from $226.5 million , or 78 cents .
wsj_1014_9|Third-period sales were $2.49 billion , up from last year 's $2.34 billion .
wsj_0135_4|The company 's stock fell $1.125 to $13.625 in over-the-counter trading yesterday .
wsj_0135_1|The Rockford , Ill. , maker of fasteners also said it expects to post sales in the current fiscal year that are ' slightly above ' fiscal 1989 sales of $155 million .
wsj_0135_0|Elco Industries Inc. said it expects net income in the year ending June 30 , 1990 , to fall below a recent analyst 's estimate of $1.65 a share .
wsj_0135_3|In fiscal 1989 , Elco earned $7.8 million , or $1.65 a share .
wsj_0135_2|The company said its industrial unit continues to face margin pressures and lower demand .
VOA19980303.1600.2745_20|Jim Teple , VOA News , Miami .
NYT19980424.0421_8|The Justice Department , which supported the statute , did not cover itself with glory either .
NYT19980424.0421_9|The department retreated from its position in the VMI case when it argued that the government could not make policy based on stereotypes ` ` even when those stereotypes reflect current realities . ' ' As for the court , it managed with its splintered ruling to cast doubt both on the constitutionality of the immigration provisions it upheld and on its true commitment to fighting gender stereotypes .
wsj_1014_23|But Smith Barney 's Mr. Doyle , who yesterday trimmed his 1990 Anheuser earnings projection to $2.95 a share from $3.10 , called the market 's reaction ' justified . '
wsj_1014_22|Mr. Thompson noted that the disappointing earnings , which fell five cents a share short of his own projections , contributed to the sell-off by an edgy and currently unforgiving investing public .
wsj_1014_21|Mr. Thompson calls discounting ' a loser 's game for anyone without a dominant market share , ' and projected that Anheuser 's statement of intent could simply be a means of warning competitors to ease up on price-cutting or face a costly and fruitless battle .
wsj_1014_20|Prudential-Bache Securities Inc. analyst George E. Thompson downplayed the importance of the announcement , and called any comparison between the coming beer-industry tiff and the seemingly unending ' cola wars , ' unwarranted .
wsj_1014_27|Both Coors and Stroh have recently been ceding market share to Miller and Anheuser .
wsj_1014_26|It 's followed by Stroh Brewery Co. , which has agreed to sell its assets to Coors .
wsj_1014_25|According to Mr. Steinman , the newsletter publisher , Anheuser 's market share is nearly twice that of its nearest competitor , Miller Brewing , which had a 21.2% stake last year .
wsj_1014_24|While the third-quarter earnings were a ' moderate disappointment , ' he said , ' the real bad news is the intensity of price competition ' in the premium-beer sector .
APW19980227.0476_2|Both U.S. and British officials filed objections to the court 's jurisdiction in 1995 , claiming Security Council resolutions imposed on Lybia to force the suspects ' extradition overruled a 1971 Convention which gives Libya the right to try the men .
wsj_0918_19|In the diversifed businesses segment , which includes herbicides , profit grew to $64 million from $27 million .
NYT19980424.0421_2|Under the statute , a child born abroad to an unwed American mother is automatically considered a U.S. citizen .
NYT19980424.0421_3|But the child of an unwed American father has no citizenship rights unless the father takes the affirmative step of acknowledging paternity and formally agrees to provide support until the child turns 18 .
wsj_0292_6|The quarter-to-quarter comparison was also enhanced by charges taken in the year-earlier period , including $11 million related to the modernization of a pulp and newsprint mill in Alabama .
wsj_0292_3|After a flat second quarter tied largely to lower newsprint earnings , Kimberly-Clark attributed the gain to improved results in its consumer businesses in North America , Brazil and Korea .
ABC19980108.1830.0711_20|Nobody believe this any more .
ABC19980108.1830.0711_21|Of all of Asia 's economies , Hong Kong is the most robust .
ABC19980108.1830.0711_22|But in the past three months , stocks have plunged , interest rates have soared and the downturn all across Asia means that people are not spending here .
ABC19980108.1830.0711_23|Hotels are only thirty percent full .
ABC19980108.1830.0711_24|You can get seventy percent discounts at the shopping malls .
ABC19980108.1830.0711_25|Three thousand dollar pearls for eight hundred dollars .
ABC19980108.1830.0711_26|A two hundred dollar wool jacket for fifty dollars .
ABC19980108.1830.0711_27|Still , there are few buyers .
ABC19980108.1830.0711_28|And at the big brokerage houses , after ten years of boom , they 're talking about layoffs .
ABC19980108.1830.0711_29|I think that the mood is fairly gloomy , and I think it 's not going to change for a couple of years .
wsj_0568_7|That is at the high end of the range of 7,000 to 8,000 employees that Unisys said a month ago would be laid off .
wsj_0568_6|On top of that , the Blue Bell , Pa. , concern took a $230 million charge related to the layoffs of 8,000 employees .
wsj_0568_5|Unisys , whose revenue inched up 3.7% in the quarter to $2.35 billion from $2.27 billion in the year-earlier quarter , had an operating loss of about $30 million .
wsj_0568_4|' The quarter was terrible , and the future looks anything but encouraging . '
wsj_0568_3|Just clobbered , ' said Ulric Weil , an analyst at Weil amp Associates who had once been high on the company .
wsj_0568_2|' Unisys is getting clobbered .
wsj_0568_1|At the same time , the sheer size of the loss , coupled with a slowing of orders , made some securities analysts wonder just how strong that turnaround will be at the computer maker and defense-electronics concern .
wsj_0568_0|Unisys Corp. 's announcement Friday of a $648.2 million loss for the third quarter showed that the company is moving even faster than expected to take write-offs on its various problems and prepare for a turnaround next year .
wsj_0568_9|The company also took a write-off of $150 million to cover losses on some fixed-price defense contracts , as some new managers took a hard look at the prospects for that slow-growing business .
wsj_0568_8|Unisys said that should help it save $500 million a year in costs , again at the high end of the previously reported range of $400 million to $500 million .
wsj_0533_5|Merieux officials said last week that they are ' highly confident ' the offer will be approved once it submits details of its proposed investments to federal regulators .
wsj_0907_4|Mr. LeGere attributed the earnings increase to growth in the company 's longhaul trucking insurance lines and the ability to keep premium rates firm .
wsj_0907_2|In an interview , W. Brent LeGere , chairman and chief executive officer , said he expects revenue in the latest quarter to total about $28 million .
wsj_0907_3|The earnings-per-share figures reflect a 25% stock dividend in June 1989 .
wsj_0907_0|Chandler Insurance Co. said it expects to report third-quarter net income jumped 97% to $2.8 million , or 51 cents a share .
wsj_0907_1|In the year-earlier quarter , the automobile and trucking insurer had earnings of $1.4 million , or 48 cents a share on a restated basis , on revenue of $16.5 million .
wsj_0132_6|Also , substantially lower Dutch corporate tax rates helped the company keep its tax outlay flat relative to earnings growth , the company added .
wsj_0132_7|Sales , however , were little changed at 2.46 billion guilders , compared with 2.42 billion guilders .
wsj_0132_4|Last year , DSM had 71 million guilders of extraordinary charges for the restructuring program and other transactions .
wsj_0324_0|QVC Network Inc. said it completed its acquisition of CVN Cos .
wsj_0324_3|The acquisition brings together the two largest competitors to Home Shopping Network Inc. , which now reaches more viewers than any other company in the video shopping industry .
wsj_0292_0|Despite continuing problems in its newsprint business , Kimberly-Clark Corp. posted a 20% gain in third-quarter net income .
wsj_0938_18|Michael Gifford , Rank 's chief executive , said the British theater chain 's total involvement ' would n 't exceed $100 million ' but declined to give a breakdown between the loan financing and the proposed Film House purchase .
wsj_0938_19|Cineplex shareholders responded coolly to yesterday 's announcement .
wsj_0938_12|Last April , Mr. Drabinsky and a group of financial backers planned to acquire up to 30.2% of Cineplex for C$17.50 a share from Bronfman associates .
wsj_0938_13|Mr. Drabinsky , who would have had the right to vote those shares for two years , said the purchase , subsequently rejected by regulators , was aimed at consolidating his control of the company .
wsj_0938_10|' All this has really established is that MCA and the Bronfmans have agreed on a price at which they can be bought out , ' said Jeffery Logsdon , an analyst with Crowell , Weedon in Los Angeles .
wsj_0938_11|' If a bid materializes at that price , shareholders will have every reason to be glad , but the question of financing still remains . '
wsj_0938_16|' This is being done at the suggestion of { Mr. Drabinsky } and to accommodate him , to facilitate his financing arrangements , ' Ms. Kolber said .
wsj_0938_17|In addition , the directors said if a bid by Mr. Drabinsky is successful , Cineplex expects Rank Organisation PLC to acquire the 51% of Cineplex 's Film House unit it doesn 't own , and provide Mr. Drabinsky with additional loan financing .
wsj_0938_14|MCA strongly opposed the Drabinsky group 's move .
wsj_0938_15|The directors did n 't indicate the source of financing for Mr. Drabinsky 's new proposal , but said MCA and the Bronfman associates agreed in principle to buy for $57 million and then lease back to Cineplex its 18-screen theater complex in Universal City , Calif. , if Mr. Drabinsky succeeds in an offer .
wsj_0575_37|' We 've been listed as a candidate for so long it 's not worth worrying about , ' said Mr. Price .
wsj_0575_36|Perlman nor Price said he spends much time considering the possibility of a hostile takeover .
wsj_0575_35|But while its stock is selling at about half Control Data 's estimated breakup value , neither Messrs .
wsj_0575_34|' Absolutely , ' he said .
wsj_0575_33|Reviewing the company 's scrape with disaster , Mr. Price conceded it had tried to do too much on its own .
wsj_0575_32|Utilities management is a major commercial niche .
wsj_0575_31|Control Data mainframes are designed for numerically intensive computing users , such as the scientific , engineering and academic communities .
wsj_0575_30|' We 're in environments that are going to spend a lot of money on that . '
APW19980227.0468_3|Seventy-five million copies of the rifle have been built since it entered production in February 1947 , making it history 's most widely distributed weapon .
APW19980227.0468_2|Together with its derivatives , the Kalashnikov rifle has been used by the police and armies of 55 countries and an assortment of guerrillas , terrorists and just plain thugs around the globe .
APW19980227.0468_1|Kalashnikov designed the AK-47 automatic rifle , famed for its reliability and effectiveness .
APW19980227.0468_0|MOSCOW ( AP ) _ The mayor of Moscow has allocated funds to help build a museum in honor of Mikhail Kalashnikov , the Russian who gave his name to the world 's most widely wielded weapon , according to a news agency report Friday .
APW19980227.0468_4|UR The ITAR-Tass , 4th graf pvs ( pvs/ji )
ABC19980108.1830.0711_32|Jim Laurie , ABC News , Hong Kong .
ABC19980108.1830.0711_31|To either hold on tight or get out , as much of Asia goes into recession .
ABC19980108.1830.0711_30|So for Hong Kong , it 's time , as investment bankers like to say , to reposition .
WSJ910225-0066_51|And when he and President Gorbachev spoke about the decision in a talk lasting nearly an hour , the President took pains to listen to what his counterpart had to say , although he already had decided that the Soviet alternative to the allied deadline was unacceptable .
WSJ910225-0066_50|After cabling world leaders about his intention to give Saddam Hussein a final deadline to exit Kuwait , he offered him a week to withdraw fully , instead of the four days he originally considered , because of objections from some European partners that four days seemed punitive and unrealistic .
WSJ910225-0066_53|The attack was lightning quick , as allied forces punched through tall sand berms on the border and pushed forward into Iraq and Kuwait .
WSJ910225-0066_52|Finally , when Iraq failed to respond to the U.S. ultimatum , Mr. Bush let the ground offensive begin as previously planned Saturday night .
WSJ910225-0066_55|Long columns of Iraqi prisoners of war could be seen trudging through the desert toward the allied rear .
WSJ910225-0066_54|U.S. Marines were said to have breached troublesome mine fields along the Iraqi lines but Pentagon officials said no amphibious assault on Kuwait 's beaches had begun .
WSJ910225-0066_57|The U.S. hopes its troops will drive Iraqi forces out of Kuwait quickly , leaving much of Iraq 's offensive military equipment destroyed or abandoned in Kuwait .
WSJ910225-0066_56|U.S. commanders said 5,500 Iraqi prisoners were taken in the first hours of the ground war , though some military officials later said the total may have climbed above 8,000 .
wsj_0786_5|In January , American Medical brought in a new chief executive officer , Richard A. Gilleland , 45 , who will remain as chairman , president and chief executive .
wsj_0786_4|The completion of the merger agreement follows months of twists and turns .
wsj_0786_7|In March , American Medical received a $24-a-share offer to take the company private from an investor group including large holder M. Lee Pearce .
wsj_0786_6|A few days later , American Medical announced sharply lower earnings , taking charges of $24 million for insurance reserves and canceled real estate leases .
wsj_0786_1|The price also includes assumption of about $1.4 billion in debt .
wsj_0786_0|IMA Holdings Corp. completed its $3 billion acquisition of American Medical International Inc. , purchasing 63 million shares , or 86% , of the Los Angeles-based health-care services concern for $26.50 a share .
wsj_0786_3|Harry J. Gray and Melvyn N. Klein , along with five other IMA designees , were named to join American Medical 's 10-member board .
wsj_0786_2|IMA is a group that includes First Boston Corp. and the Pritzker family of Chicago through the leveraged buy-out fund Harry Gray Melvyn Klein amp Partners .
AP900815-0044_15|_The outlook darkened for about 3,000 Americans caught in Iraq and Kuwait when Saddam sent his forces into the small , oil-rich sultanate .
AP900815-0044_14|Sytenko , a former deputy secretary-general of the United Nations , is also expected to visit Baghdad , Gremitskikh said at a regular news briefing today .
AP900815-0044_17|_The Soviet Foreign Ministry said Soviet women , children and invalids would be permitted to leave Iraq .
AP900815-0044_16|The Iraqi ambassador to Greece said in Athens the Americans and other stranded foreigners could leave ` ` as soon as the threats from the United States and its allies are eliminated . ' ' ABC quoted an Iraqi Foreign Ministry official in Baghdad as saying Americans in Iraq are ` ` restrictees ' ' who will stay there until the crisis ends .
AP900815-0044_11|Saddam said he sought to ` ` turn the gulf into a lake of peace free of foreign fleets and forces that harbor ill intentions against us . ' ' In other developments : _The Pentagon said that Defense Secretary Dick Cheney is considering urging Bush to order a national callup of armed forces reserves for active duty because of the drain on units sending soldiers abroad .
AP900815-0044_10|The move seemed aimed at heading off more trouble with Iran , which had condemned Iraq 's invasion of Kuwait on Aug. 2 but also criticized the multinational force dispatched to Saudi Arabia .
AP900815-0044_13|_Soviet Foreign Ministry spokesman Yuri Gremitskikh said special ambassador Mikhail Sytenko left Tuesday for consultations with the governments of Syria , Jordan , Egypt and other Arab countries .
AP900815-0044_12|Bush can call up to 200,000 reservists for up to 180 days without seeking congressional approval .
AP900815-0044_19|Nearly 9,000 Soviets were among the hundreds of thousands of foreigners trapped in Iraq and Kuwait .
AP900815-0044_18|Spokesman Yuri Gremitskikh said the first group of 230 evacuees was assembling in Baghdad today , but evacuation plans were hampered by desert heat and lack of transportation .
wsj_0266_2|But the Reserve Fund , America 's first money fund , was not named , nor were the creators of the money-fund concept , Harry Brown and myself .
wsj_0266_3|We innovated telephone redemptions , daily dividends , total elimination of share certificates and the constant $1 pershare pricing , all of which were painfully thought out and not the result of some inadvertence on the part of the SEC .
wsj_0266_0|I was pleased to note that your Oct. 23 Centennial Journal item recognized the money-fund concept as one of the significant events of the past century .
wsj_0266_1|Actually , about two years ago , the Journal listed the creation of the money fund as one of the 10 most significant events in the world of finance in the 20th century .
AP900815-0044_47|Bush told a news conference on Tuesday that the naval barricade now in force might be extended to Jordan 's Aqaba ` ` if it is a hole through which commerce flows ' ' in and out of Iraq .
wsj_0266_4|BRUCE R. BENT President The Reserve Fund New York
CNN19980213.2130.0155_14|Steve Hurst , CNN , the state department .
CNN19980213.2130.0155_13|Meanwhile , secretary of state Madeleine Albright , Berger and defense secretary William Cohen announced plans to travel to an unnamed city in the US heartland next week , to explain to the American people just why military force will be necessary if diplomacy fails .
CNN19980213.2130.0155_12|Annan has no trip planned so far .
CNN19980213.2130.0155_11|The Russian foreign minister , meanwhile , sought to soften the harsh words of his military counterpart , saying on Friday that Russia now feels the US must hold off at least until UN secretary general Kofi Annan visits Baghdad in a last-ditch effort at diplomacy .
CNN19980213.2130.0155_10|Nevertheless , the president said Washington would use force if diplomacy fails to force Saddam Hussein to back down .
ABC19980304.1830.1636_18|Ned Potter , ABC News .
ABC19980304.1830.1636_12|In space , some say female pilots were held up until now by the lack of piloting opportunities for them in the military .
ABC19980304.1830.1636_13|Once Colonel Collins was picked as a NASA astronaut , she followed a normal progression within NASA .
ABC19980304.1830.1636_10|It means supervising the rest of the crew in training and leading them in flight .
ABC19980304.1830.1636_11|It is , in short , the kind of management job many American women say they 've had to fight for .
ABC19980304.1830.1636_16|Many NASA watchers say female astronauts have become part of the agency 's routine .
ABC19980304.1830.1636_17|But they still have catching up to do two hundred and thirty four Americans have flown in space , only twenty six of them women .
ABC19980304.1830.1636_14|Nobody hurried her up .
ABC19980304.1830.1636_15|No one held her back .
wsj_0585_16|Shearson , Merrill Lynch and Goldman Sachs say they do so only for customers , however .
wsj_0585_17|Kidder Peabody does program trading for its own as well as clients ' accounts .
wsj_0585_14|Shearson Lehman , however , executes program trades for clients .
wsj_0585_15|Merrill Lynch , Goldman Sachs and Kidder Peabody , in addition to Shearson , do program-trade OTC stocks .
wsj_0585_12|Peter DaPuzzo , head of retail equity trading at Shearson Lehman Hutton , acknowledges that he wasn 't troubled by program trading when it began in the pre-crash bull market because it added liquidity and people were pleased to see stock prices rising .
wsj_0585_13|' We were n 't as concerned until they became sell programs , ' says Mr. DaPuzzo , who now thinks it adds unnecessary volatility .
wsj_0585_10|Some of these problems are neither new nor unique to the OTC market .
wsj_0585_11|But the big , often tumultuous slide in stock prices this month has turned some of those who have been profiting from the practice against it .
wsj_0585_18|Of course , there were sell programs in past years , too , but they seem to hurt market makers more painfully these days .
wsj_0585_19|That 's largely because of defensive measures they adopted after the 1987 crash , when individual investors fled the market and trading activity dwindled .
wsj_0346_5|The company , which currently has 13.5 million common shares outstanding , said it has no specific plans for the shares .
wsj_0346_4|Separately , Cilcorp said it plans to purchase as many as 1.4 million shares , or 10% of its common stock outstanding from time to time on the open market and through privately negotiated transactions .
wsj_0346_1|Cilcorp will also assume $22 million of Hunter 's existing debt .
wsj_0346_0|Cilcorp Inc. , Peoria , Ill. , said it agreed to acquire the environmental consulting and analytical service businesses of Hunter Environmental Services Inc. of Southport , Conn. The utility holding company said Hunter will receive 390,000 shares of a new series of Cilcorp convertible preferred stock with a face value of $39 million for the businesses .
wsj_0346_3|Cilcorp said the businesses to be acquired had revenue of $76 million for the year ended March 31 .
